bubble,client,epochs,num_samples,rmse,round,smape,stage,strategy,train_samples
0,TX_3_HOBBIES_2,,2651,8.401970863342285,3,118.19865703582764,federated,Global FedAvg,12876
0,TX_3_HOUSEHOLD_1,,2436,23.60394287109375,3,35.66260635852814,federated,Global FedAvg,11865
0,TX_3_HOUSEHOLD_2,,2624,6.542878150939941,3,71.14604115486145,federated,Global FedAvg,12749
0,WI_1_FOODS_1,,2612,27.17091178894043,3,44.58959698677063,federated,Global FedAvg,12689
0,WI_1_FOODS_2,,2323,21.617393493652344,3,47.26455211639404,federated,Global FedAvg,11336
0,WI_1_FOODS_3,,2720,37.729270935058594,3,28.482207655906677,federated,Global FedAvg,13200
0,WI_1_HOBBIES_1,,2699,17.66054344177246,3,30.079558491706848,federated,Global FedAvg,13102
0,WI_1_HOBBIES_2,,2719,4.102810382843018,3,98.0344831943512,federated,Global FedAvg,13195
0,WI_1_HOUSEHOLD_1,,2502,16.643489837646484,3,37.062057852745056,federated,Global FedAvg,12174
0,WI_1_HOUSEHOLD_2,,2101,4.76954460144043,3,42.33047962188721,federated,Global FedAvg,10308
0,WI_2_FOODS_1,,2494,54.14848327636719,3,45.25894224643707,federated,Global FedAvg,12135
0,WI_2_FOODS_2,,2409,73.97854614257812,3,66.55200719833374,federated,Global FedAvg,11738
0,WI_2_FOODS_3,,2712,95.03347778320312,3,63.07293176651001,federated,Global FedAvg,13161
0,WI_2_HOBBIES_1,,2681,11.260427474975586,3,40.671104192733765,federated,Global FedAvg,13013
0,WI_2_HOBBIES_2,,2539,7.971301555633545,3,96.78303599357605,federated,Global FedAvg,12352
